2026-05-23 15:48:10 | stock_ai.api | INFO     | server:43 | ✅ Stock-AI V2 API ready
2026-05-23 15:48:10 | stock_ai.api | INFO     | websocket:24 | WebSocket connected (1 total)
2026-05-23 15:48:14 | stock_ai.api | INFO     | websocket:24 | WebSocket connected (2 total)
2026-05-23 15:48:15 | stock_ai.api | INFO     | websocket:24 | WebSocket connected (3 total)
2026-05-23 15:48:16 | stock_ai.api | INFO     | websocket:24 | WebSocket connected (4 total)
2026-05-23 15:48:18 | stock_ai.api | INFO     | websocket:24 | WebSocket connected (5 total)
2026-05-23 15:54:10 | stock_ai.api | INFO     | websocket:29 | WebSocket disconnected (4 total)
2026-05-23 15:54:10 | stock_ai.api | INFO     | websocket:29 | WebSocket disconnected (3 total)
2026-05-23 15:54:10 | stock_ai.api | INFO     | websocket:29 | WebSocket disconnected (2 total)
2026-05-23 15:54:10 | stock_ai.api | INFO     | websocket:29 | WebSocket disconnected (1 total)
2026-05-23 15:54:10 | stock_ai.api | INFO     | websocket:29 | WebSocket disconnected (0 total)
2026-05-23 15:54:10 | stock_ai.api | INFO     | websocket:24 | WebSocket connected (1 total)
2026-05-23 15:54:10 | stock_ai.api | INFO     | websocket:24 | WebSocket connected (2 total)
2026-05-23 15:54:10 | stock_ai.api | INFO     | websocket:29 | WebSocket disconnected (1 total)
2026-05-23 15:54:10 | stock_ai.api | INFO     | websocket:24 | WebSocket connected (2 total)
2026-05-23 15:54:11 | stock_ai.api | INFO     | websocket:29 | WebSocket disconnected (1 total)
2026-05-23 15:55:08 | stock_ai.api | INFO     | websocket:24 | WebSocket connected (2 total)
2026-05-23 15:55:08 | stock_ai.api | INFO     | websocket:24 | WebSocket connected (3 total)
2026-05-23 15:55:08 | stock_ai.api | INFO     | websocket:24 | WebSocket connected (4 total)
2026-05-23 15:55:08 | stock_ai.api | INFO     | websocket:24 | WebSocket connected (5 total)
2026-05-23 15:55:08 | stock_ai.api | INFO     | websocket:24 | WebSocket connected (6 total)
2026-05-23 15:55:08 | stock_ai.api | INFO     | websocket:24 | WebSocket connected (7 total)
2026-05-23 15:55:08 | stock_ai.api | INFO     | websocket:24 | WebSocket connected (8 total)
2026-05-23 15:56:51 | stock_ai.api | INFO     | websocket:29 | WebSocket disconnected (7 total)
2026-05-23 15:56:51 | stock_ai.api | INFO     | websocket:29 | WebSocket disconnected (6 total)
2026-05-23 15:56:51 | stock_ai.api | INFO     | websocket:29 | WebSocket disconnected (5 total)
2026-05-23 15:56:51 | stock_ai.api | INFO     | websocket:29 | WebSocket disconnected (4 total)
2026-05-23 15:56:51 | stock_ai.api | INFO     | websocket:29 | WebSocket disconnected (3 total)
2026-05-23 15:56:51 | stock_ai.api | INFO     | websocket:29 | WebSocket disconnected (2 total)
2026-05-23 15:56:51 | stock_ai.api | INFO     | websocket:29 | WebSocket disconnected (1 total)
2026-05-23 15:56:51 | stock_ai.api | INFO     | websocket:29 | WebSocket disconnected (0 total)
2026-05-23 15:56:54 | stock_ai.api | INFO     | websocket:24 | WebSocket connected (1 total)
2026-05-23 15:56:54 | stock_ai.api | INFO     | websocket:29 | WebSocket disconnected (0 total)
2026-05-23 15:56:54 | stock_ai.api | INFO     | websocket:24 | WebSocket connected (1 total)
2026-05-23 15:56:55 | stock_ai.api | INFO     | websocket:24 | WebSocket connected (2 total)
2026-05-23 15:58:19 | stock_ai.api | INFO     | websocket:24 | WebSocket connected (3 total)
2026-05-23 15:58:20 | stock_ai.api | INFO     | websocket:29 | WebSocket disconnected (2 total)
2026-05-23 15:58:20 | stock_ai.api | INFO     | websocket:24 | WebSocket connected (3 total)
2026-05-23 15:58:23 | stock_ai.api | INFO     | websocket:24 | WebSocket connected (4 total)
2026-05-23 15:58:23 | stock_ai.api | INFO     | websocket:24 | WebSocket connected (5 total)
2026-05-23 15:58:31 | stock_ai.api | INFO     | websocket:29 | WebSocket disconnected (4 total)
2026-05-23 15:58:34 | stock_ai.api | INFO     | websocket:24 | WebSocket connected (5 total)
2026-05-23 15:58:34 | stock_ai.api | INFO     | websocket:24 | WebSocket connected (6 total)
2026-05-23 15:58:37 | stock_ai.api | INFO     | websocket:24 | WebSocket connected (7 total)
2026-05-23 16:03:24 | stock_ai.api | INFO     | websocket:29 | WebSocket disconnected (6 total)
2026-05-23 16:03:24 | stock_ai.api | INFO     | websocket:29 | WebSocket disconnected (5 total)
2026-05-23 16:03:24 | stock_ai.api | INFO     | websocket:29 | WebSocket disconnected (4 total)
2026-05-23 16:03:24 | stock_ai.api | INFO     | websocket:29 | WebSocket disconnected (3 total)
2026-05-23 16:03:24 | stock_ai.api | INFO     | websocket:29 | WebSocket disconnected (2 total)
2026-05-23 16:03:24 | stock_ai.api | INFO     | websocket:29 | WebSocket disconnected (1 total)
2026-05-23 16:03:24 | stock_ai.api | INFO     | websocket:29 | WebSocket disconnected (0 total)
2026-05-23 16:03:25 | stock_ai.api | INFO     | websocket:24 | WebSocket connected (1 total)
2026-05-23 16:03:25 | stock_ai.api | INFO     | websocket:24 | WebSocket connected (2 total)
2026-05-23 16:03:25 | stock_ai.api | INFO     | websocket:29 | WebSocket disconnected (1 total)
2026-05-23 16:03:25 | stock_ai.api | INFO     | websocket:24 | WebSocket connected (2 total)
2026-05-23 16:03:28 | stock_ai.api | INFO     | websocket:24 | WebSocket connected (3 total)
2026-05-23 16:03:28 | stock_ai.api | INFO     | websocket:24 | WebSocket connected (4 total)
2026-05-23 16:12:27 | stock_ai.api | INFO     | websocket:29 | WebSocket disconnected (3 total)
2026-05-23 16:12:27 | stock_ai.api | INFO     | websocket:29 | WebSocket disconnected (2 total)
2026-05-23 16:12:27 | stock_ai.api | INFO     | websocket:29 | WebSocket disconnected (1 total)
2026-05-23 16:12:27 | stock_ai.api | INFO     | websocket:29 | WebSocket disconnected (0 total)
2026-05-23 16:12:28 | stock_ai.api | INFO     | websocket:24 | WebSocket connected (1 total)
2026-05-23 16:12:28 | stock_ai.api | INFO     | websocket:24 | WebSocket connected (2 total)
2026-05-23 16:12:28 | stock_ai.api | INFO     | websocket:29 | WebSocket disconnected (1 total)
2026-05-23 16:12:28 | stock_ai.api | INFO     | websocket:24 | WebSocket connected (2 total)
2026-05-23 16:12:31 | stock_ai.api | INFO     | websocket:24 | WebSocket connected (3 total)
2026-05-23 16:12:31 | stock_ai.api | INFO     | websocket:24 | WebSocket connected (4 total)
2026-05-23 16:12:35 | stock_ai.api | INFO     | signals:186 | ✅ Signals generated: 5 picks
2026-05-23 16:27:05 | stock_ai.api | INFO     | websocket:29 | WebSocket disconnected (3 total)
2026-05-23 16:27:05 | stock_ai.api | INFO     | websocket:29 | WebSocket disconnected (2 total)
2026-05-23 16:27:05 | stock_ai.api | INFO     | websocket:29 | WebSocket disconnected (1 total)
2026-05-23 16:27:05 | stock_ai.api | INFO     | websocket:29 | WebSocket disconnected (0 total)
2026-05-23 16:27:11 | stock_ai.api | INFO     | websocket:24 | WebSocket connected (1 total)
2026-05-23 16:27:11 | stock_ai.api | INFO     | websocket:24 | WebSocket connected (2 total)
2026-05-23 16:27:12 | stock_ai.api | INFO     | websocket:29 | WebSocket disconnected (1 total)
2026-05-23 16:27:12 | stock_ai.api | INFO     | websocket:24 | WebSocket connected (2 total)
2026-05-23 16:27:12 | stock_ai.api | INFO     | websocket:24 | WebSocket connected (3 total)
2026-05-23 16:27:12 | stock_ai.api | INFO     | websocket:24 | WebSocket connected (4 total)
2026-05-23 20:14:16 | stock_ai.api | INFO     | websocket:29 | WebSocket disconnected (3 total)
2026-05-23 20:14:16 | stock_ai.api | INFO     | websocket:29 | WebSocket disconnected (2 total)
2026-05-23 20:14:16 | stock_ai.api | INFO     | websocket:29 | WebSocket disconnected (1 total)
2026-05-23 20:14:16 | stock_ai.api | INFO     | websocket:29 | WebSocket disconnected (0 total)
2026-05-23 20:14:22 | stock_ai.api | INFO     | websocket:24 | WebSocket connected (1 total)
2026-05-23 20:14:22 | stock_ai.api | INFO     | websocket:24 | WebSocket connected (2 total)
2026-05-23 20:14:22 | stock_ai.api | INFO     | websocket:29 | WebSocket disconnected (1 total)
2026-05-23 20:14:22 | stock_ai.api | INFO     | websocket:24 | WebSocket connected (2 total)
2026-05-23 20:14:22 | stock_ai.api | INFO     | websocket:24 | WebSocket connected (3 total)
2026-05-23 20:14:22 | stock_ai.api | INFO     | websocket:24 | WebSocket connected (4 total)
2026-05-24 09:17:50 | stock_ai.api | INFO     | websocket:29 | WebSocket disconnected (3 total)
2026-05-24 09:17:50 | stock_ai.api | INFO     | websocket:29 | WebSocket disconnected (2 total)
2026-05-24 09:17:50 | stock_ai.api | INFO     | websocket:29 | WebSocket disconnected (1 total)
2026-05-24 09:17:50 | stock_ai.api | INFO     | websocket:29 | WebSocket disconnected (0 total)
2026-05-24 09:17:52 | stock_ai.api | INFO     | websocket:24 | WebSocket connected (1 total)
2026-05-24 09:17:52 | stock_ai.api | INFO     | websocket:24 | WebSocket connected (2 total)
2026-05-24 09:17:53 | stock_ai.api | INFO     | websocket:29 | WebSocket disconnected (1 total)
2026-05-24 09:17:53 | stock_ai.api | INFO     | websocket:24 | WebSocket connected (2 total)
2026-05-24 09:17:55 | stock_ai.api | INFO     | websocket:24 | WebSocket connected (3 total)
2026-05-24 09:17:55 | stock_ai.api | INFO     | websocket:24 | WebSocket connected (4 total)
2026-05-24 09:32:21 | stock_ai.api | INFO     | websocket:29 | WebSocket disconnected (3 total)
2026-05-24 09:32:21 | stock_ai.api | INFO     | websocket:29 | WebSocket disconnected (2 total)
2026-05-24 09:32:21 | stock_ai.api | INFO     | websocket:29 | WebSocket disconnected (1 total)
2026-05-24 09:32:21 | stock_ai.api | INFO     | websocket:29 | WebSocket disconnected (0 total)
2026-05-24 09:32:22 | stock_ai.api | INFO     | websocket:24 | WebSocket connected (1 total)
2026-05-24 09:32:22 | stock_ai.api | INFO     | websocket:24 | WebSocket connected (2 total)
2026-05-24 09:32:22 | stock_ai.api | INFO     | websocket:29 | WebSocket disconnected (1 total)
2026-05-24 09:32:22 | stock_ai.api | INFO     | websocket:24 | WebSocket connected (2 total)
2026-05-24 09:32:25 | stock_ai.api | INFO     | websocket:24 | WebSocket connected (3 total)
2026-05-24 09:32:25 | stock_ai.api | INFO     | websocket:24 | WebSocket connected (4 total)
2026-05-24 20:11:14 | stock_ai.api | INFO     | server:28 | 🚀 Stock-AI V2 API starting...
2026-05-24 20:11:14 | stock_ai.api | INFO     | server:39 | ✅ Ollama connection OK — Gemma 4 E4B available
2026-05-24 20:11:14 | stock_ai.api | INFO     | server:43 | ✅ Stock-AI V2 API ready
2026-05-24 20:12:29 | stock_ai.api | INFO     | server:28 | 🚀 Stock-AI V2 API starting...
2026-05-24 20:12:29 | stock_ai.api | INFO     | server:39 | ✅ Ollama connection OK — Gemma 4 E4B available
2026-05-24 20:12:29 | stock_ai.api | INFO     | server:43 | ✅ Stock-AI V2 API ready
2026-05-24 20:14:51 | stock_ai.api | INFO     | websocket:24 | WebSocket connected (1 total)
2026-05-24 20:14:51 | stock_ai.api | INFO     | websocket:24 | WebSocket connected (2 total)
2026-05-24 20:14:51 | stock_ai.api | INFO     | websocket:29 | WebSocket disconnected (1 total)
2026-05-24 20:14:51 | stock_ai.api | INFO     | websocket:24 | WebSocket connected (2 total)
2026-05-24 20:14:51 | stock_ai.api | INFO     | websocket:24 | WebSocket connected (3 total)
2026-05-24 20:15:15 | stock_ai.api | INFO     | websocket:24 | WebSocket connected (4 total)
2026-05-24 20:15:15 | stock_ai.api | INFO     | websocket:24 | WebSocket connected (5 total)
2026-05-24 20:15:15 | stock_ai.api | INFO     | websocket:29 | WebSocket disconnected (4 total)
2026-05-24 20:15:18 | stock_ai.api | INFO     | websocket:24 | WebSocket connected (5 total)
2026-05-24 20:20:34 | stock_ai.api | INFO     | websocket:29 | WebSocket disconnected (4 total)
