2026-05-23 15:55:44 | stock_ai.ml | INFO     | predictor:151 | ML adjustment for BAJAJ-AUTO.NS: 60 → 45 (prob=0.10, adj=-15)
2026-05-23 15:55:46 | stock_ai.ml | INFO     | predictor:151 | ML adjustment for SUNPHARMA.NS: 65 → 50 (prob=0.17, adj=-15)
2026-05-23 15:55:48 | stock_ai.ml | INFO     | predictor:151 | ML adjustment for DRREDDY.NS: 70 → 55 (prob=0.07, adj=-15)
2026-05-23 15:55:50 | stock_ai.ml | INFO     | predictor:151 | ML adjustment for APOLLOHOSP.NS: 67 → 52 (prob=0.11, adj=-15)
2026-05-23 15:55:52 | stock_ai.ml | INFO     | predictor:151 | ML adjustment for ASIANPAINT.NS: 65 → 50 (prob=0.06, adj=-15)
2026-05-23 15:55:54 | stock_ai.ml | INFO     | predictor:151 | ML adjustment for HINDALCO.NS: 80 → 65 (prob=0.06, adj=-15)
2026-05-23 15:55:56 | stock_ai.ml | INFO     | predictor:151 | ML adjustment for DIVISLAB.NS: 60 → 45 (prob=0.09, adj=-15)
2026-05-23 15:55:58 | stock_ai.ml | INFO     | predictor:151 | ML adjustment for GRASIM.NS: 62 → 47 (prob=0.09, adj=-15)
2026-05-23 15:56:00 | stock_ai.ml | INFO     | predictor:151 | ML adjustment for TATACONSUM.NS: 60 → 45 (prob=0.12, adj=-15)
2026-05-23 15:56:01 | stock_ai.ml | INFO     | predictor:151 | ML adjustment for NYKAA.NS: 87 → 72 (prob=0.19, adj=-15)
2026-05-23 15:56:03 | stock_ai.ml | INFO     | predictor:151 | ML adjustment for POLICYBZR.NS: 60 → 45 (prob=0.09, adj=-15)
2026-05-23 15:56:05 | stock_ai.ml | INFO     | predictor:151 | ML adjustment for TRENT.NS: 62 → 47 (prob=0.10, adj=-15)
2026-05-23 15:56:07 | stock_ai.ml | INFO     | predictor:151 | ML adjustment for VBL.NS: 63 → 48 (prob=0.12, adj=-15)
2026-05-23 15:56:08 | stock_ai.ml | INFO     | predictor:151 | ML adjustment for SIEMENS.NS: 75 → 60 (prob=0.09, adj=-15)
2026-05-23 15:56:11 | stock_ai.ml | INFO     | predictor:151 | ML adjustment for SRF.NS: 55 → 40 (prob=0.23, adj=-15)
2026-05-23 15:56:13 | stock_ai.ml | INFO     | predictor:151 | ML adjustment for DIXON.NS: 80 → 65 (prob=0.38, adj=-15)
2026-05-24 20:50:25 | stock_ai.ml | INFO     | predictor:57 | Loaded ML model with threshold: 0.50
2026-05-24 20:50:25 | stock_ai.ml | INFO     | predictor:67 | Market features loaded for inference
2026-05-24 20:50:27 | stock_ai.ml | INFO     | predictor:151 | ML adjustment for M&M.NS: 80 → 65 (prob=0.23, adj=-15)
2026-05-24 20:50:30 | stock_ai.ml | INFO     | predictor:151 | ML adjustment for BAJAJ-AUTO.NS: 65 → 50 (prob=0.15, adj=-15)
2026-05-24 20:50:32 | stock_ai.ml | INFO     | predictor:151 | ML adjustment for SUNPHARMA.NS: 65 → 50 (prob=0.22, adj=-15)
2026-05-24 20:50:34 | stock_ai.ml | INFO     | predictor:151 | ML adjustment for DRREDDY.NS: 65 → 50 (prob=0.14, adj=-15)
2026-05-24 20:50:36 | stock_ai.ml | INFO     | predictor:151 | ML adjustment for CIPLA.NS: 55 → 40 (prob=0.16, adj=-15)
2026-05-24 20:50:39 | stock_ai.ml | INFO     | predictor:151 | ML adjustment for APOLLOHOSP.NS: 65 → 50 (prob=0.17, adj=-15)
2026-05-24 20:50:40 | stock_ai.ml | INFO     | predictor:151 | ML adjustment for ASIANPAINT.NS: 73 → 58 (prob=0.13, adj=-15)
2026-05-24 20:50:42 | stock_ai.ml | INFO     | predictor:151 | ML adjustment for JSWSTEEL.NS: 58 → 43 (prob=0.22, adj=-15)
2026-05-24 20:50:44 | stock_ai.ml | INFO     | predictor:151 | ML adjustment for HINDALCO.NS: 80 → 65 (prob=0.14, adj=-15)
2026-05-24 20:50:47 | stock_ai.ml | INFO     | predictor:151 | ML adjustment for DIVISLAB.NS: 60 → 45 (prob=0.09, adj=-15)
